"","Run","assay_type","AvgSpotLen","BioSample","Experiment","sample_name","tissue","Strain","title","description"
"SRR12892359","SRR12892359","RNA-Seq",51,"SAMN16543944","SRX9357949","GSM4856456","Kidney glomerulus","C57BL/6J","299s_N15","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892360","SRR12892360","RNA-Seq",51,"SAMN16543943","SRX9357950","GSM4856457","Kidney glomerulus","C57BL/6J","121s_J20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892361","SRR12892361","RNA-Seq",51,"SAMN16543942","SRX9357951","GSM4856458","Kidney glomerulus","C57BL/6J","813s_N8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892362","SRR12892362","RNA-Seq",51,"SAMN16543941","SRX9357952","GSM4856459","Kidney glomerulus","C57BL/6J","812s_C2","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892363","SRR12892363","RNA-Seq",51,"SAMN16543940","SRX9357953","GSM4856460","Kidney glomerulus","C57BL/6J","298s_F2","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892364","SRR12892364","RNA-Seq",51,"SAMN16543939","SRX9357954","GSM4856461","Kidney glomerulus","C57BL/6J","813s_N14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892365","SRR12892365","RNA-Seq",51,"SAMN16543938","SRX9357955","GSM4856462","Kidney glomerulus","C57BL/6J","813s_F10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892366","SRR12892366","RNA-Seq",51,"SAMN16543937","SRX9357956","GSM4856463","Kidney glomerulus","C57BL/6J","196s_N20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892367","SRR12892367","RNA-Seq",51,"SAMN16543936","SRX9357957","GSM4856464","Kidney glomerulus","C57BL/6J","813s_B6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892368","SRR12892368","RNA-Seq",51,"SAMN16543935","SRX9357958","GSM4856465","Kidney glomerulus","C57BL/6J","298s_C17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892369","SRR12892369","RNA-Seq",51,"SAMN16543934","SRX9357959","GSM4856466","Kidney glomerulus","C57BL/6J","299s_E6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892370","SRR12892370","RNA-Seq",51,"SAMN16543933","SRX9357960","GSM4856467","Kidney glomerulus","C57BL/6J","196s_K2","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892371","SRR12892371","RNA-Seq",51,"SAMN16543932","SRX9357961","GSM4856468","Kidney glomerulus","C57BL/6J","813s_A11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892372","SRR12892372","RNA-Seq",51,"SAMN16543931","SRX9357962","GSM4856469","Kidney glomerulus","C57BL/6J","298s_K4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892373","SRR12892373","RNA-Seq",51,"SAMN16543930","SRX9357963","GSM4856470","Kidney glomerulus","C57BL/6J","682s_K18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892374","SRR12892374","RNA-Seq",51,"SAMN16546057","SRX9357964","GSM4856471","Kidney glomerulus","C57BL/6J","812s_G20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892375","SRR12892375","RNA-Seq",51,"SAMN16546056","SRX9358068","GSM4856472","Kidney glomerulus","C57BL/6J","812s_C21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892376","SRR12892376","RNA-Seq",51,"SAMN16546055","SRX9358069","GSM4856473","Kidney glomerulus","C57BL/6J","811s_C23","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892377","SRR12892377","RNA-Seq",51,"SAMN16546054","SRX9358070","GSM4856474","Kidney glomerulus","C57BL/6J","298s_B8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892378","SRR12892378","RNA-Seq",51,"SAMN16546053","SRX9358071","GSM4856475","Kidney glomerulus","C57BL/6J","813s_J6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892379","SRR12892379","RNA-Seq",51,"SAMN16543842","SRX9358072","GSM4856476","Kidney glomerulus","C57BL/6J","298s_I17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892380","SRR12892380","RNA-Seq",51,"SAMN16543841","SRX9358073","GSM4856477","Kidney glomerulus","C57BL/6J","294s_M24","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892381","SRR12892381","RNA-Seq",51,"SAMN16543840","SRX9358074","GSM4856478","Kidney glomerulus","C57BL/6J","298s_D8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892382","SRR12892382","RNA-Seq",51,"SAMN16543839","SRX9358075","GSM4856479","Kidney glomerulus","C57BL/6J","813s_J21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892383","SRR12892383","RNA-Seq",51,"SAMN16543838","SRX9358076","GSM4856480","Kidney glomerulus","C57BL/6J","811s_B24","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892384","SRR12892384","RNA-Seq",51,"SAMN16543837","SRX9358077","GSM4856481","Kidney glomerulus","C57BL/6J","196s_M12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892385","SRR12892385","RNA-Seq",51,"SAMN16543836","SRX9358078","GSM4856482","Kidney glomerulus","C57BL/6J","813s_F4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892386","SRR12892386","RNA-Seq",51,"SAMN16543835","SRX9358079","GSM4856483","Kidney glomerulus","C57BL/6J","294s_M23","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892387","SRR12892387","RNA-Seq",51,"SAMN16543834","SRX9358080","GSM4856484","Kidney glomerulus","C57BL/6J","294s_G11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892388","SRR12892388","RNA-Seq",51,"SAMN16543833","SRX9358081","GSM4856485","Kidney glomerulus","C57BL/6J","812s_L22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892389","SRR12892389","RNA-Seq",51,"SAMN16543831","SRX9358082","GSM4856486","Kidney glomerulus","C57BL/6J","299s_B16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892390","SRR12892390","RNA-Seq",51,"SAMN16543830","SRX9358083","GSM4856487","Kidney glomerulus","C57BL/6J","299s_O20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892391","SRR12892391","RNA-Seq",51,"SAMN16543829","SRX9358180","GSM4856488","Kidney glomerulus","C57BL/6J","811s_I3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892392","SRR12892392","RNA-Seq",51,"SAMN16543828","SRX9358181","GSM4856489","Kidney glomerulus","C57BL/6J","121s_F4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892393","SRR12892393","RNA-Seq",51,"SAMN16543827","SRX9358182","GSM4856490","Kidney glomerulus","C57BL/6J","811s_H23","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892394","SRR12892394","RNA-Seq",51,"SAMN16543832","SRX9358183","GSM4856491","Kidney glomerulus","C57BL/6J","811s_E11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892395","SRR12892395","RNA-Seq",51,"SAMN16543826","SRX9358184","GSM4856492","Kidney glomerulus","C57BL/6J","814s_B5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892396","SRR12892396","RNA-Seq",51,"SAMN16543825","SRX9358185","GSM4856493","Kidney glomerulus","C57BL/6J","294s_K24","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892397","SRR12892397","RNA-Seq",51,"SAMN16543824","SRX9358186","GSM4856494","Kidney glomerulus","C57BL/6J","814s_C12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892398","SRR12892398","RNA-Seq",51,"SAMN16543823","SRX9358187","GSM4856495","Kidney glomerulus","C57BL/6J","682s_L20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892399","SRR12892399","RNA-Seq",51,"SAMN16543822","SRX9358188","GSM4856496","Kidney glomerulus","C57BL/6J","196s_M6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892400","SRR12892400","RNA-Seq",51,"SAMN16543821","SRX9358189","GSM4856497","Kidney glomerulus","C57BL/6J","294s_C9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892401","SRR12892401","RNA-Seq",51,"SAMN16543820","SRX9358190","GSM4856498","Kidney glomerulus","C57BL/6J","813s_B10","mouse_glom_single_cell_unbiased_rpkms.txt"
