"","Run","assay_type","AvgSpotLen","BioSample","Experiment","sample_name","tissue","Strain","title","description"
"SRR12892462","SRR12892462","RNA-Seq",51,"SAMN16546349","SRX9357476","GSM4855919","Kidney glomerulus","C57BL/6J","555s_A6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892463","SRR12892463","RNA-Seq",51,"SAMN16546348","SRX9357477","GSM4855920","Kidney glomerulus","C57BL/6J","812s_J12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892464","SRR12892464","RNA-Seq",51,"SAMN16546753","SRX9357478","GSM4855921","Kidney glomerulus","C57BL/6J","682s_P3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892465","SRR12892465","RNA-Seq",51,"SAMN16546752","SRX9357479","GSM4855922","Kidney glomerulus","C57BL/6J","121s_D14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892466","SRR12892466","RNA-Seq",51,"SAMN16546751","SRX9357480","GSM4855923","Kidney glomerulus","C57BL/6J","299s_H23","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892467","SRR12892467","RNA-Seq",51,"SAMN16546750","SRX9357481","GSM4855924","Kidney glomerulus","C57BL/6J","121s_A24","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892468","SRR12892468","RNA-Seq",51,"SAMN16546749","SRX9357482","GSM4855925","Kidney glomerulus","C57BL/6J","299s_P20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892469","SRR12892469","RNA-Seq",51,"SAMN16546748","SRX9357483","GSM4855926","Kidney glomerulus","C57BL/6J","812s_K12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892470","SRR12892470","RNA-Seq",51,"SAMN16546747","SRX9357484","GSM4855927","Kidney glomerulus","C57BL/6J","811s_F4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892471","SRR12892471","RNA-Seq",51,"SAMN16546746","SRX9357805","GSM4855928","Kidney glomerulus","C57BL/6J","196s_M1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892472","SRR12892472","RNA-Seq",51,"SAMN16546745","SRX9357806","GSM4855929","Kidney glomerulus","C57BL/6J","812s_P17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892473","SRR12892473","RNA-Seq",51,"SAMN16546744","SRX9357807","GSM4855930","Kidney glomerulus","C57BL/6J","682s_K6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892474","SRR12892474","RNA-Seq",51,"SAMN16546743","SRX9357808","GSM4855931","Kidney glomerulus","C57BL/6J","813s_J10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892475","SRR12892475","RNA-Seq",51,"SAMN16546742","SRX9357809","GSM4855932","Kidney glomerulus","C57BL/6J","811s_G4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892476","SRR12892476","RNA-Seq",51,"SAMN16546741","SRX9357810","GSM4855933","Kidney glomerulus","C57BL/6J","298s_J10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892477","SRR12892477","RNA-Seq",51,"SAMN16546740","SRX9357811","GSM4855934","Kidney glomerulus","C57BL/6J","294s_N13","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892478","SRR12892478","RNA-Seq",51,"SAMN16546739","SRX9357812","GSM4855935","Kidney glomerulus","C57BL/6J","298s_I21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892479","SRR12892479","RNA-Seq",51,"SAMN16546738","SRX9357813","GSM4855936","Kidney glomerulus","C57BL/6J","812s_I21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892480","SRR12892480","RNA-Seq",51,"SAMN16546710","SRX9357814","GSM4855937","Kidney glomerulus","C57BL/6J","813s_A22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892481","SRR12892481","RNA-Seq",51,"SAMN16546709","SRX9357815","GSM4855938","Kidney glomerulus","C57BL/6J","299s_O21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892482","SRR12892482","RNA-Seq",51,"SAMN16546708","SRX9357816","GSM4855939","Kidney glomerulus","C57BL/6J","299s_J15","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892483","SRR12892483","RNA-Seq",51,"SAMN16546707","SRX9357817","GSM4855940","Kidney glomerulus","C57BL/6J","813s_K9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892484","SRR12892484","RNA-Seq",51,"SAMN16546706","SRX9357818","GSM4855941","Kidney glomerulus","C57BL/6J","299s_P16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892485","SRR12892485","RNA-Seq",51,"SAMN16546705","SRX9357819","GSM4855942","Kidney glomerulus","C57BL/6J","299s_N19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892486","SRR12892486","RNA-Seq",51,"SAMN16546783","SRX9357820","GSM4855943","Kidney glomerulus","C57BL/6J","811s_G10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892487","SRR12892487","RNA-Seq",51,"SAMN16546782","SRX9357988","GSM4855944","Kidney glomerulus","C57BL/6J","298s_N14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892488","SRR12892488","RNA-Seq",51,"SAMN16546781","SRX9357989","GSM4855945","Kidney glomerulus","C57BL/6J","121s_G15","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892489","SRR12892489","RNA-Seq",51,"SAMN16546780","SRX9357990","GSM4855946","Kidney glomerulus","C57BL/6J","814s_H20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892490","SRR12892490","RNA-Seq",51,"SAMN16546779","SRX9357991","GSM4855947","Kidney glomerulus","C57BL/6J","196s_L14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892491","SRR12892491","RNA-Seq",51,"SAMN16546778","SRX9357992","GSM4855948","Kidney glomerulus","C57BL/6J","298s_G18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892492","SRR12892492","RNA-Seq",51,"SAMN16546777","SRX9357993","GSM4855949","Kidney glomerulus","C57BL/6J","294s_B10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892493","SRR12892493","RNA-Seq",51,"SAMN16546776","SRX9357994","GSM4855950","Kidney glomerulus","C57BL/6J","555s_P2","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892494","SRR12892494","RNA-Seq",51,"SAMN16546775","SRX9357995","GSM4855951","Kidney glomerulus","C57BL/6J","813s_B17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892495","SRR12892495","RNA-Seq",51,"SAMN16546774","SRX9357996","GSM4855952","Kidney glomerulus","C57BL/6J","813s_D9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892496","SRR12892496","RNA-Seq",51,"SAMN16546773","SRX9357997","GSM4855953","Kidney glomerulus","C57BL/6J","812s_D23","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892497","SRR12892497","RNA-Seq",51,"SAMN16546772","SRX9357998","GSM4855954","Kidney glomerulus","C57BL/6J","294s_G17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892498","SRR12892498","RNA-Seq",51,"SAMN16546771","SRX9357999","GSM4855955","Kidney glomerulus","C57BL/6J","121s_O11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892499","SRR12892499","RNA-Seq",51,"SAMN16546770","SRX9358000","GSM4855956","Kidney glomerulus","C57BL/6J","294s_L2","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892500","SRR12892500","RNA-Seq",51,"SAMN16546769","SRX9358001","GSM4855957","Kidney glomerulus","C57BL/6J","555s_C9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892501","SRR12892501","RNA-Seq",51,"SAMN16546768","SRX9358002","GSM4855958","Kidney glomerulus","C57BL/6J","299s_C20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892502","SRR12892502","RNA-Seq",51,"SAMN16546767","SRX9358003","GSM4855959","Kidney glomerulus","C57BL/6J","813s_H10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892503","SRR12892503","RNA-Seq",51,"SAMN16546766","SRX9358100","GSM4855960","Kidney glomerulus","C57BL/6J","298s_M11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892504","SRR12892504","RNA-Seq",51,"SAMN16546765","SRX9358101","GSM4855961","Kidney glomerulus","C57BL/6J","814s_D2","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892505","SRR12892505","RNA-Seq",51,"SAMN16546764","SRX9358102","GSM4855962","Kidney glomerulus","C57BL/6J","299s_A2","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892506","SRR12892506","RNA-Seq",51,"SAMN16546763","SRX9358103","GSM4855963","Kidney glomerulus","C57BL/6J","814s_H13","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892507","SRR12892507","RNA-Seq",51,"SAMN16546762","SRX9358104","GSM4855964","Kidney glomerulus","C57BL/6J","812s_B3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892508","SRR12892508","RNA-Seq",51,"SAMN16546761","SRX9358105","GSM4855965","Kidney glomerulus","C57BL/6J","813s_E18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892509","SRR12892509","RNA-Seq",51,"SAMN16546760","SRX9358106","GSM4855966","Kidney glomerulus","C57BL/6J","299s_B20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892510","SRR12892510","RNA-Seq",51,"SAMN16546759","SRX9358107","GSM4855967","Kidney glomerulus","C57BL/6J","294s_J19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892511","SRR12892511","RNA-Seq",51,"SAMN16546758","SRX9358108","GSM4855968","Kidney glomerulus","C57BL/6J","298s_E15","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892512","SRR12892512","RNA-Seq",51,"SAMN16546732","SRX9358109","GSM4855969","Kidney glomerulus","C57BL/6J","299s_B12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892513","SRR12892513","RNA-Seq",51,"SAMN16546731","SRX9358110","GSM4855970","Kidney glomerulus","C57BL/6J","682s_G11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892514","SRR12892514","RNA-Seq",51,"SAMN16546730","SRX9358111","GSM4855971","Kidney glomerulus","C57BL/6J","555s_C3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892515","SRR12892515","RNA-Seq",51,"SAMN16546729","SRX9358112","GSM4855972","Kidney glomerulus","C57BL/6J","121s_P5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892516","SRR12892516","RNA-Seq",51,"SAMN16546726","SRX9358113","GSM4855973","Kidney glomerulus","C57BL/6J","812s_I7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892517","SRR12892517","RNA-Seq",51,"SAMN16546725","SRX9358114","GSM4855974","Kidney glomerulus","C57BL/6J","813s_H16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892518","SRR12892518","RNA-Seq",51,"SAMN16546724","SRX9358115","GSM4855975","Kidney glomerulus","C57BL/6J","813s_I8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892519","SRR12892519","RNA-Seq",51,"SAMN16546728","SRX9357517","GSM4855976","Kidney glomerulus","C57BL/6J","811s_L3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892520","SRR12892520","RNA-Seq",51,"SAMN16546727","SRX9357518","GSM4855977","Kidney glomerulus","C57BL/6J","298s_D1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892521","SRR12892521","RNA-Seq",51,"SAMN16546723","SRX9357519","GSM4855978","Kidney glomerulus","C57BL/6J","299s_C12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892522","SRR12892522","RNA-Seq",51,"SAMN16546722","SRX9357520","GSM4855979","Kidney glomerulus","C57BL/6J","813s_I21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892523","SRR12892523","RNA-Seq",51,"SAMN16546721","SRX9357521","GSM4855980","Kidney glomerulus","C57BL/6J","814s_G17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892524","SRR12892524","RNA-Seq",51,"SAMN16546720","SRX9357522","GSM4855981","Kidney glomerulus","C57BL/6J","811s_E12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892525","SRR12892525","RNA-Seq",51,"SAMN16546719","SRX9357523","GSM4855982","Kidney glomerulus","C57BL/6J","812s_N3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892526","SRR12892526","RNA-Seq",51,"SAMN16546718","SRX9357524","GSM4855983","Kidney glomerulus","C57BL/6J","298s_C6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892527","SRR12892527","RNA-Seq",51,"SAMN16546717","SRX9357525","GSM4855984","Kidney glomerulus","C57BL/6J","555s_H11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892528","SRR12892528","RNA-Seq",51,"SAMN16546716","SRX9357526","GSM4855985","Kidney glomerulus","C57BL/6J","294s_G16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892529","SRR12892529","RNA-Seq",51,"SAMN16546715","SRX9357527","GSM4855986","Kidney glomerulus","C57BL/6J","682s_G1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892530","SRR12892530","RNA-Seq",51,"SAMN16546714","SRX9357528","GSM4855987","Kidney glomerulus","C57BL/6J","682s_F16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892531","SRR12892531","RNA-Seq",51,"SAMN16546713","SRX9357529","GSM4855988","Kidney glomerulus","C57BL/6J","294s_O1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892532","SRR12892532","RNA-Seq",51,"SAMN16546712","SRX9357530","GSM4855989","Kidney glomerulus","C57BL/6J","813s_H4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892533","SRR12892533","RNA-Seq",51,"SAMN16546711","SRX9357531","GSM4855990","Kidney glomerulus","C57BL/6J","682s_M20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892534","SRR12892534","RNA-Seq",51,"SAMN16546447","SRX9357532","GSM4855991","Kidney glomerulus","C57BL/6J","814s_A12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892535","SRR12892535","RNA-Seq",51,"SAMN16546446","SRX9357613","GSM4855992","Kidney glomerulus","C57BL/6J","196s_N5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892536","SRR12892536","RNA-Seq",51,"SAMN16546445","SRX9357614","GSM4855993","Kidney glomerulus","C57BL/6J","813s_F24","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892537","SRR12892537","RNA-Seq",51,"SAMN16546444","SRX9357615","GSM4855994","Kidney glomerulus","C57BL/6J","812s_M17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892538","SRR12892538","RNA-Seq",51,"SAMN16546443","SRX9357616","GSM4855995","Kidney glomerulus","C57BL/6J","294s_L5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892539","SRR12892539","RNA-Seq",51,"SAMN16546442","SRX9357617","GSM4855996","Kidney glomerulus","C57BL/6J","294s_H9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892540","SRR12892540","RNA-Seq",51,"SAMN16546441","SRX9357618","GSM4855997","Kidney glomerulus","C57BL/6J","811s_B4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892541","SRR12892541","RNA-Seq",51,"SAMN16546440","SRX9357619","GSM4855998","Kidney glomerulus","C57BL/6J","555s_P3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892542","SRR12892542","RNA-Seq",51,"SAMN16546439","SRX9357620","GSM4855999","Kidney glomerulus","C57BL/6J","682s_C15","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892543","SRR12892543","RNA-Seq",51,"SAMN16546438","SRX9357621","GSM4856000","Kidney glomerulus","C57BL/6J","811s_C13","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892544","SRR12892544","RNA-Seq",51,"SAMN16546437","SRX9357622","GSM4856001","Kidney glomerulus","C57BL/6J","813s_N1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892545","SRR12892545","RNA-Seq",51,"SAMN16546436","SRX9357623","GSM4856002","Kidney glomerulus","C57BL/6J","294s_P5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892546","SRR12892546","RNA-Seq",51,"SAMN16546435","SRX9357624","GSM4856003","Kidney glomerulus","C57BL/6J","813s_K19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892547","SRR12892547","RNA-Seq",51,"SAMN16546434","SRX9357625","GSM4856004","Kidney glomerulus","C57BL/6J","813s_K16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892548","SRR12892548","RNA-Seq",51,"SAMN16546433","SRX9357626","GSM4856005","Kidney glomerulus","C57BL/6J","294s_O6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892549","SRR12892549","RNA-Seq",51,"SAMN16546432","SRX9357627","GSM4856006","Kidney glomerulus","C57BL/6J","298s_G9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892550","SRR12892550","RNA-Seq",51,"SAMN16546431","SRX9357628","GSM4856007","Kidney glomerulus","C57BL/6J","299s_P18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892551","SRR12892551","RNA-Seq",51,"SAMN16546430","SRX9357725","GSM4856008","Kidney glomerulus","C57BL/6J","298s_I5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892552","SRR12892552","RNA-Seq",51,"SAMN16546429","SRX9357726","GSM4856009","Kidney glomerulus","C57BL/6J","294s_D18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892553","SRR12892553","RNA-Seq",51,"SAMN16546428","SRX9357727","GSM4856010","Kidney glomerulus","C57BL/6J","682s_G8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892554","SRR12892554","RNA-Seq",51,"SAMN16546427","SRX9357728","GSM4856011","Kidney glomerulus","C57BL/6J","299s_D13","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892555","SRR12892555","RNA-Seq",51,"SAMN16546426","SRX9357729","GSM4856012","Kidney glomerulus","C57BL/6J","811s_G14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892556","SRR12892556","RNA-Seq",51,"SAMN16546425","SRX9357730","GSM4856013","Kidney glomerulus","C57BL/6J","812s_E1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892557","SRR12892557","RNA-Seq",51,"SAMN16546424","SRX9357731","GSM4856014","Kidney glomerulus","C57BL/6J","555s_F5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892558","SRR12892558","RNA-Seq",51,"SAMN16546423","SRX9357732","GSM4856015","Kidney glomerulus","C57BL/6J","298s_M7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892559","SRR12892559","RNA-Seq",51,"SAMN16546422","SRX9357733","GSM4856016","Kidney glomerulus","C57BL/6J","298s_G14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892560","SRR12892560","RNA-Seq",51,"SAMN16546757","SRX9357734","GSM4856017","Kidney glomerulus","C57BL/6J","294s_F8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892561","SRR12892561","RNA-Seq",51,"SAMN16546756","SRX9357735","GSM4856018","Kidney glomerulus","C57BL/6J","299s_C13","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892562","SRR12892562","RNA-Seq",51,"SAMN16546755","SRX9357736","GSM4856019","Kidney glomerulus","C57BL/6J","814s_H6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892563","SRR12892563","RNA-Seq",51,"SAMN16546754","SRX9357737","GSM4856020","Kidney glomerulus","C57BL/6J","555s_G10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892564","SRR12892564","RNA-Seq",51,"SAMN16546737","SRX9357738","GSM4856021","Kidney glomerulus","C57BL/6J","299s_F4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892565","SRR12892565","RNA-Seq",51,"SAMN16546736","SRX9357739","GSM4856022","Kidney glomerulus","C57BL/6J","196s_L2","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892566","SRR12892566","RNA-Seq",51,"SAMN16546735","SRX9357740","GSM4856023","Kidney glomerulus","C57BL/6J","121s_F12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892567","SRR12892567","RNA-Seq",51,"SAMN16546734","SRX9357821","GSM4856024","Kidney glomerulus","C57BL/6J","812s_D3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892568","SRR12892568","RNA-Seq",51,"SAMN16546733","SRX9357822","GSM4856025","Kidney glomerulus","C57BL/6J","298s_G19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892569","SRR12892569","RNA-Seq",51,"SAMN16546347","SRX9357823","GSM4856026","Kidney glomerulus","C57BL/6J","813s_H11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892570","SRR12892570","RNA-Seq",51,"SAMN16546346","SRX9357824","GSM4856027","Kidney glomerulus","C57BL/6J","813s_H3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892571","SRR12892571","RNA-Seq",51,"SAMN16546345","SRX9357825","GSM4856028","Kidney glomerulus","C57BL/6J","298s_K1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892572","SRR12892572","RNA-Seq",51,"SAMN16546344","SRX9357826","GSM4856029","Kidney glomerulus","C57BL/6J","121s_C20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892573","SRR12892573","RNA-Seq",51,"SAMN16546343","SRX9357827","GSM4856030","Kidney glomerulus","C57BL/6J","299s_H16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892574","SRR12892574","RNA-Seq",51,"SAMN16546342","SRX9357828","GSM4856031","Kidney glomerulus","C57BL/6J","682s_G15","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892575","SRR12892575","RNA-Seq",51,"SAMN16546341","SRX9357829","GSM4856032","Kidney glomerulus","C57BL/6J","294s_H21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892576","SRR12892576","RNA-Seq",51,"SAMN16546340","SRX9357830","GSM4856033","Kidney glomerulus","C57BL/6J","813s_B7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892577","SRR12892577","RNA-Seq",51,"SAMN16546339","SRX9357831","GSM4856034","Kidney glomerulus","C57BL/6J","121s_O9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892578","SRR12892578","RNA-Seq",51,"SAMN16546338","SRX9357832","GSM4856035","Kidney glomerulus","C57BL/6J","813s_I22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892579","SRR12892579","RNA-Seq",51,"SAMN16546337","SRX9357833","GSM4856036","Kidney glomerulus","C57BL/6J","196s_J21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892580","SRR12892580","RNA-Seq",51,"SAMN16546336","SRX9357834","GSM4856037","Kidney glomerulus","C57BL/6J","813s_A18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892581","SRR12892581","RNA-Seq",51,"SAMN16546335","SRX9357835","GSM4856038","Kidney glomerulus","C57BL/6J","682s_A4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892582","SRR12892582","RNA-Seq",51,"SAMN16546334","SRX9357836","GSM4856039","Kidney glomerulus","C57BL/6J","294s_L7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892583","SRR12892583","RNA-Seq",51,"SAMN16543862","SRX9357965","GSM4856552","Kidney glomerulus","C57BL/6J","812s_J6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892584","SRR12892584","RNA-Seq",51,"SAMN16543861","SRX9357966","GSM4856553","Kidney glomerulus","C57BL/6J","811s_M10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892585","SRR12892585","RNA-Seq",51,"SAMN16543860","SRX9357967","GSM4856554","Kidney glomerulus","C57BL/6J","682s_D15","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892586","SRR12892586","RNA-Seq",51,"SAMN16543858","SRX9357968","GSM4856555","Kidney glomerulus","C57BL/6J","121s_J22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892587","SRR12892587","RNA-Seq",51,"SAMN16543765","SRX9357969","GSM4856556","Kidney glomerulus","C57BL/6J","294s_D16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892588","SRR12892588","RNA-Seq",51,"SAMN16543764","SRX9357970","GSM4856557","Kidney glomerulus","C57BL/6J","196s_J17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892589","SRR12892589","RNA-Seq",51,"SAMN16543857","SRX9357971","GSM4856558","Kidney glomerulus","C57BL/6J","298s_L1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892590","SRR12892590","RNA-Seq",51,"SAMN16543768","SRX9357972","GSM4856559","Kidney glomerulus","C57BL/6J","294s_E20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892591","SRR12892591","RNA-Seq",51,"SAMN16543767","SRX9357973","GSM4856560","Kidney glomerulus","C57BL/6J","555s_H2","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892592","SRR12892592","RNA-Seq",51,"SAMN16543859","SRX9357974","GSM4856561","Kidney glomerulus","C57BL/6J","555s_H9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892593","SRR12892593","RNA-Seq",51,"SAMN16545410","SRX9357975","GSM4856562","Kidney glomerulus","C57BL/6J","812s_I10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892594","SRR12892594","RNA-Seq",51,"SAMN16545409","SRX9357976","GSM4856563","Kidney glomerulus","C57BL/6J","299s_G23","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892595","SRR12892595","RNA-Seq",51,"SAMN16545408","SRX9357977","GSM4856564","Kidney glomerulus","C57BL/6J","813s_K17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892596","SRR12892596","RNA-Seq",51,"SAMN16545407","SRX9357978","GSM4856565","Kidney glomerulus","C57BL/6J","811s_E9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892597","SRR12892597","RNA-Seq",51,"SAMN16545406","SRX9357979","GSM4856566","Kidney glomerulus","C57BL/6J","196s_K14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892598","SRR12892598","RNA-Seq",51,"SAMN16545405","SRX9357980","GSM4856567","Kidney glomerulus","C57BL/6J","196s_L18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892599","SRR12892599","RNA-Seq",51,"SAMN16545404","SRX9358084","GSM4856568","Kidney glomerulus","C57BL/6J","298s_B14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892600","SRR12892600","RNA-Seq",51,"SAMN16545403","SRX9358085","GSM4856569","Kidney glomerulus","C57BL/6J","812s_I4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892601","SRR12892601","RNA-Seq",51,"SAMN16545402","SRX9358086","GSM4856570","Kidney glomerulus","C57BL/6J","811s_A19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892602","SRR12892602","RNA-Seq",51,"SAMN16545401","SRX9358087","GSM4856571","Kidney glomerulus","C57BL/6J","294s_C24","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892603","SRR12892603","RNA-Seq",51,"SAMN16545400","SRX9358088","GSM4856572","Kidney glomerulus","C57BL/6J","121s_G12","mouse_glom_single_cell_unbiased_rpkms.txt"
